[dotenv@17.2.3] injecting env (1) from .env -- tip: 🔐 encrypt with Dotenvx: https://dotenvx.com
--- ALL CUSTOMERS ---
ID: 69205f961ae12e633f67c4ee, Name: "Saipriya Agencies"
ID: 693058f02504525d431c43bc, Name: "Nirvayu Electro Mech "
ID: 694a768e4b9f1de791dc3e31, Name: "Parmila Industries"
ID: 694a97151ebc0261c00e1574, Name: "Revent Tech "
ID: 694beefb44c1e07d6836e411, Name: "Shree Hari Traders"
ID: 694bf1b344c1e07d6836e54e, Name: "Sakthi Traders"
ID: 694d07155ea8500690848eae, Name: "Shabeer Enterprises"
ID: 6950e87f4f83ed097ac14ec3, Name: "Globalink Hotels"
ID: 695138095bc1a3f4e4cb2224, Name: "Premier Aircon "
ID: 6952675850708e36ac4a3b34, Name: "HI Trans Service Pvt Ltd "
ID: 6953f01e8878bf735af9b7ae, Name: "AL Badar Spices"
ID: 6953f0888878bf735af9b7b0, Name: "Bholebaba Traders "
ID: 695a5048a675c3af2d5dd10b, Name: "Verde box Design "
ID: 695d04adaf9ef129550ad1ee, Name: "King International "
ID: 695e69f7a42ddb02e39c74f0, Name: "Sap Lab India Pvt Ltd "
ID: 695f7d1c5f8ffc24e1ec34a8, Name: "Dhar Enterprise"
ID: 695fa097953c74d56d6bced4, Name: "Shamshabad Mall"
ID: 6960c4fb7aa11f1c621e301b, Name: "Padmawati Enterprises"
ID: 6961347dae8c67bed3d67395, Name: "Tahmeed Trading "
ID: 69205e6d1ae12e633f67c4c1, Name: "Techtonic Air Conditioning"
ID: 692074e9365a314f5c158b89, Name: "Shinryo Suvidha Engineers "
ID: 6920780f365a314f5c158bf1, Name: "Pure Truherb Pvt Ltd "
ID: 6932f0cf5526fc089188fda2, Name: "Vayucon Systems Pvt Ltd"
ID: 6932f3105526fc089188fe09, Name: "Nithin Aircon Pvt Ltd "
ID: 694a6d054b9f1de791dc3ac9, Name: "Balaji Satyanarayan"
ID: 694a73154b9f1de791dc3d4e, Name: "Sha Kantilal Jayantilal"
ID: 694d184f5ea8500690849e36, Name: "S S T Logistics"
ID: 694ff8172073e7f76e5bd4c1, Name: "Ram Krishan Traders"
ID: 6950e9274f83ed097ac14ffa, Name: "Ramamurthy Sudhamani "
ID: 6950e9f34f83ed097ac15269, Name: "Flutech Aircon "
ID: 6951334b5bc1a3f4e4cb15d7, Name: "Precision Metaliks Ltd"
ID: 695a5e7ba675c3af2d5e4fa7, Name: "Krishna Trading Company "
ID: 695caca45b4df9a8dc09acb6, Name: "KSK Aircon Pvt Ltd "
ID: 695cbc061bcbbd4c815393df, Name: "Nirvayu  Electro Mech "
ID: 695d0cd0af9ef129550aebe3, Name: "Krish Engineering "
ID: 695d195caf9ef129550b40f1, Name: "Vayucon Systems Pvt Ltd "
ID: 695d1fa8af9ef129550b8621, Name: "ABS Fujitsu General Pvt Ltd "
ID: 695e34c73f7ec8a7617a76dd, Name: "Badrinath Trading Co"
ID: 695e39113f7ec8a7617a8937, Name: "ANJ Turnkey Projects Pvt Ltd "
ID: 695e83c9f99be54aec6a6eb5, Name: "Bag Industries "
ID: 695f4d9fc2761abb2b226416, Name: "Zeta Interactive System India Pvt Ltd"
ID: 695f5061c2761abb2b226df5, Name: "G T Jayanti Perfumery Works Pvt Ltd "
ID: 695f72e35f8ffc24e1ec0223, Name: "Moka Business Pvt Ltd"
ID: 6960d6cd21c9b96c4ba92bf8, Name: "Oracle India Pvt Ltd "
ID: 696134b0ae8c67bed3d67397, Name: "Noor Enterprises"
ID: 69207833365a314f5c158bf3, Name: "G T India "
ID: 6932f6805526fc089188fe40, Name: "Satyam Traders"
ID: 694a6ffe4b9f1de791dc3c06, Name: "Kandish Food Pvt Ltd"
ID: 694a7b5c4b9f1de791dc3ff6, Name: "Green tech Engineers & Service"
ID: 694bf6408bcd508ef051759c, Name: "Intellimech Systems "
ID: 694d12c35ea8500690849929, Name: "Ranganatha Coconut Industries "
